B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Cr,Ni,Zn,Sr,Zr,Sn,Sb,Ce,Température,ph,Ln(V0)
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,23.0,12.0,-3.522958319
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,40.0,8.0,-5.111671838
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,40.0,8.7,-4.328827158
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,40.0,9.6,-3.569000838
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,40.0,10.5,-2.671000111
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,40.0,11.6,-1.588782708
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,70.0,7.4,-3.615071527
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,70.0,8.2,-2.901258807
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,70.0,9.1,-2.164433142
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,70.0,9.9,-0.8749832552
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,70.0,11.0,-0.8980088682
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,90.0,7.8,-1.565760798
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,90.0,8.7,-1.174316919
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,90.0,9.6,-0.09210322758
7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0,3.04,0,2.99,0.49,0,0,90.0,10.5,-1.059188711
9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0,2.51,0,3.33,1.05,0,0,23.0,8.0,-7.782424336
9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0,2.51,0,3.33,1.05,0,0,23.0,9.0,-6.654664651
9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0,2.51,0,3.33,1.05,0,0,23.0,10.0,-5.019625586
9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0,2.51,0,3.33,1.05,0,0,23.0,11.0,-3.937340813
9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0,2.51,0,3.33,1.05,0,0,23.0,12.0,-3.085460064
9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0,2.51,0,3.33,1.05,0,0,40.0,8.6,-4.858515246
9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0,2.51,0,3.33,1.05,0,0,40.0,9.6,-3.638072278
9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0,2.51,0,3.33,1.05,0,0,40.0,10.7,-2.578892107
9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0,2.51,0,3.33,1.05,0,0,40.0,11.6,-1.842070089
9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0,2.51,0,3.33,1.05,0,0,70.0,8.0,-3.108497917
9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0,2.51,0,3.33,1.05,0,0,70.0,9.0,-2.095351436
9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0,2.51,0,3.33,1.05,0,0,70.0,10.0,-0.9901122066
9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0,2.51,0,3.33,1.05,0,0,70.0,10.9,-0.04605126837
9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0,2.51,0,3.33,1.05,0,0,90.0,7.6,-1.888120601
9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0,2.51,0,3.33,1.05,0,0,90.0,8.6,-1.450628103
9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0,2.51,0,3.33,1.05,0,0,90.0,9.6,-0.04605126837
9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0,2.51,0,3.33,1.05,0,0,90.0,10.3,-0.1611810014
8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.75,0,0.49,0,0,0,22.7,11.0,-2.164563795
8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.75,0,0.49,0,0,0,22.7,12.0,-1.013077001
8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.75,0,0.49,0,0,0,40.9,8.7,-2.855970331
8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.75,0,0.49,0,0,0,40.9,9.6,-1.818925137
8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.75,0,0.49,0,0,0,40.2,10.9,-1.105334834
8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.75,0,0.49,0,0,0,39.9,11.7,-0.6676743846
8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.75,0,0.49,0,0,0,71.0,8.1,-0.1612256485
8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.75,0,0.49,0,0,0,71.0,8.9,0.4374804375
8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.75,0,0.49,0,0,0,70.1,10.4,1.082211867
